BUTTO OSCAR;Presidente Roca - Santa Fe;Ruta 70 - Km 90
SUC. DE A. WILLINER S.A.;Bella Italia - Santa Fe;Ruta 70 - Km 74
VERONICA S.A.C.I.A.F.E.I (1);Lehmann - Santa Fe; San Martin 401
VERONICA S.A.C.I.A.F.E.I (2);Suardi - Santa Fe; Ruta 23 - Km. 9
VERONICA S.A.C.I.A.F.E.I (3);Clason - Santa Fe; Ruta Nac.34 Km. 67
DIAZ LAC S.R.L.;Diaz - C贸rdoba;Viamonte 161
LA LACTEO S.A.;Ferreira - C贸rdoba;Cno. Capilla de los Remedios
GARCIA HNOS AGROINDUSTRIAL SRL;GOBERNADOR CRESPO - SANTA FE;RUTA 1 KM 622
MILKAUT S.A. (1);San Jer贸nimo - Santa Fe;Sargento Cabral 486
MILKAUT S.A. (2);Colonia Nueva - Santa Fe; Ruta Provincial Nro 70
MILKAUT S.A. (3);Franck - Santa Fe; Ruta 178 - Km 175
LACTEOS VALLE DEL CARMEN;Avellaneda - Santa Fe; Calle 3 - Lote 9 y 10
LACTEAR S.A.;Morteros - C贸rdoba; Italia 894
TREMBLAY;PILAR - SANTA FE;Ruta Provincial 67 F (Zona Rural)
LACTEOS LA RAMADA S.A.;FRANCK - SANTA FE;RUTA PROVINCIAL NRO 6
RAMOLAC;RAMONA;ZONA RURAL S/N
INTI;Rafaela - Santa Fe;Ruta 34 km 227.6

Otra2;asdhjhasd;safsadf